Covidence #,Study ID,Title,Reviewer Name,Study ID (dup),Title (dup),Journal Subject Area (Scimago classification),What is the type of study?,What are the objectives of the study?,Which RL technique is used?,Which finance application is tested?,What are the stated key results of the study?,What are the stated limitations of the study?,What asset classes are in the dataset?,What are the number of assets in the dataset?,What is the nature of the asset price dataset?,What is the granularity of the price dataset?,What is the format of the price dataset?,What other datasets are used in the study?,What is the time frame of time series data used?:,Date Start,Date End,Is all used and produced data made publicly available and referred to in the article?,Which continents are represented in the price dataset?,Is dataset quality discussed in article?,Is out-of-sample testing applied?,Was the model tested on diverse test sets?,Was the model tested across different datasets or applications?,Is the non-stationarity problem of financial markets explicitly addressed?,Are all performance results published to avoid post-selection?,Is the process of hyperparameter tuning explicitly described?,Which evaluation metrics are used?,Are results validated using statistical tests or confidence intervals?,Is the code or workflow made publicly available and referred to?,What is the implementation status?,Does the study conduct a benchmark?,What is the model benchmarked against?,Is a standard dataset used for all models?,Does study mention Transfer Learning or similar method as potential avenue for research?,Does study mention alternative generalization methods?,Does the study propose a framework to structure RL research in finance?
237,Guarino 2024,On the efficacy of “herd behavior” in the commodities market: A neuro-fuzzy agent “herding” on deep learning traders,Mathis Jander,Guarino2024,On the efficacy of “herd behavior” in the commodities market: A neuro-fuzzy agent “herding” on deep learning traders,"Business, Management and Accounting; Decision Sciences; Mathematics",Primary,The study examines the effectiveness of reinforcement learning-based trading strategies in commodity futures markets.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Offering analysis of trading strategies applied by RL agents.
Studying herd behavior through neuro-fuzzy agent.
Comparing trading strategies on commodities with and without considering transaction costs.","No hyperparameter tuning conducted.
No fine-tuning for specific commodity markets.
Some commodities were not included in dataset.
",Commodity,6,Real-world Data,Daily,Time Series,None,,01.01.2019,30.09.2022,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series,No,No,No,No,"Sharpe ratio; Max drawdown; Other: Cumulative returns, Omega ratio",No,No,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
237,Guarino 2024,On the efficacy of “herd behavior” in the commodities market: A neuro-fuzzy agent “herding” on deep learning traders,Consensus,Guarino2024,On the efficacy of “herd behavior” in the commodities market: A neuro-fuzzy agent “herding” on deep learning traders,"Business, Management and Accounting; Decision Sciences; Mathematics",Primary,The study examines the effectiveness of reinforcement learning-based trading strategies in commodity futures markets.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Offering analysis of trading strategies applied by RL agents.
Studying herd behavior through neuro-fuzzy agent.
Comparing trading strategies on commodities with and without considering transaction costs.","No hyperparameter tuning conducted.
No fine-tuning for specific commodity markets.
Some commodities were not included in dataset.
",Commodity,6,Real-world Data,Daily,Time Series,None,,01.01.2019,30.09.2022,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series,No,No,No,No,"Sharpe ratio; Max drawdown; Other: Cumulative returns, Omega ratio",No,No,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
236,Zhang 2022,Auto uning of price prediction models for high-frequency trading via reinforcement learning,Mathis Jander,Zhang2022b,"Auto uning of price prediction models for high-frequency trading via
reinforcement learning",Computer Science,Primary,"To develop an online model optimization framework that automatically selects the best price prediction model for each tick in high-frequency trading.
","Other: Inverse Reinforcement Learning, Bandit Learning",Algorithmic Trading,"Trained different light models for different data distributions.
Devised reward function based on inverse RL.
Showed promising performance in online trading system.",none,Commodity,2,Real-world Data,Other: 500 Milisecond,Order Book,Market Data,,01.10.2019,30.11.2019,No,Asia,No,Yes,Different time series; Different timeframes,No,No,Yes,Yes,"PnL; Other: Comission, Profit/comission ratio, Expectation, Accuracy, Latency",No,,Real-world deployment,Yes,n/a,Yes,No,Yes,No
236,Zhang 2022,Auto uning of price prediction models for high-frequency trading via reinforcement learning,Consensus,Zhang2022b,"Auto uning of price prediction models for high-frequency trading via
reinforcement learning",Computer Science,Primary,"To develop an online model optimization framework that automatically selects the best price prediction model for each tick in high-frequency trading.
","Other: Inverse Reinforcement Learning, Bandit Learning",Algorithmic Trading,"Trained different light models for different data distributions.
Devised reward function based on inverse RL.
Showed promising performance in online trading system.",none,Commodity,2,Real-world Data,Other: 500 Milisecond,Order Book,Market Data,,01.10.2019,30.11.2019,No,Asia,No,Yes,Different time series; Different timeframes,No,No,Yes,Yes,"PnL; Other: Comission, Profit/comission ratio, Expectation, Accuracy, Latency",No,No,Real-world deployment,Yes,n/a,Yes,No,Yes,No
235,Kumar 2024,Early MTS Forecasting for Dynamic Stock Prediction: A Double Q-Learning Ensemble Approach,Mathis Jander,Kumar2024,Early MTS Forecasting for Dynamic Stock Prediction: A Double Q-Learning Ensemble Approach,"Computer Science, Engineering, Materials Science",Primary,Propose an ensemble framework for early forecasting of multivariate time series (MTS) data using Double Q-Learning.,Value-based Method; Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Proposed novel framework for early forecasting of multivariate time series.
Investigated ensemble behaviour of Q-learning agents.",none,Equity (Stocks),13,Real-world Data,Daily,Time Series,None,,02.01.2008,18.08.2011,No,Asia; North America,No,Yes,Different time series; Different timeframes,Yes,Yes,Yes,Yes,"Sharpe ratio; PnL; Max drawdown; Other: Cumulative returns, Annual return, Annual volatility, Min-variance Sortino ratio, Accuracy, F1-score, AUC, Loss, Sensitivity, Specificity, MASE, G-mean",Yes,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
235,Kumar 2024,Early MTS Forecasting for Dynamic Stock Prediction: A Double Q-Learning Ensemble Approach,Consensus,Kumar2024,Early MTS Forecasting for Dynamic Stock Prediction: A Double Q-Learning Ensemble Approach,"Computer Science, Engineering, Materials Science",Primary,Propose an ensemble framework for early forecasting of multivariate time series (MTS) data using Double Q-Learning.,Value-based Method; Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Proposed novel framework for early forecasting of multivariate time series.
Investigated ensemble behaviour of Q-learning agents.",none,Equity (Stocks),13,Real-world Data,Daily,Time Series,None,,02.01.2008,18.08.2011,No,Asia; North America,No,Yes,Different time series; Different timeframes,Yes,Yes,Yes,Yes,"Sharpe ratio; PnL; Max drawdown; Other: Cumulative returns, Annual return, Annual volatility, Min-variance Sortino ratio, Accuracy, F1-score, AUC, Loss, Sensitivity, Specificity, MASE, G-mean",Yes,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
233,Zhang 2022,TradeBot: Bandit learning for hyper-parameters optimization of high frequency trading strategy,Mathis Jander,Zhang2022a,TradeBot: Bandit learning for hyper-parameters optimization of high frequency trading strategy,Computer Science,Primary,To optimize trading strategy hyper-parameters dynamically.,Value-based Method; Other: Inverse Reinforcement Learning,Algorithmic Trading,"Proposed reward-agnostic UCB to learn dynamically adjustable trading strategies.
Leveraged inverse RL to learn reward function that estimates profits for each order.
Showed promising performance on real-world high-frequency commodity futures trading.",none,Derivative,2,Real-world Data,Real-time Orderbook,Order Book,Market Data,,01.04.2019,30.09.2019,No,Asia,Yes,Yes,Different time series; Different timeframes,No,No,Yes,No,"Other: Closed profit, Commision cost, Profit/comission ratio",No,No,Real-world deployment,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
233,Zhang 2022,TradeBot: Bandit learning for hyper-parameters optimization of high frequency trading strategy,Consensus,Zhang2022a,TradeBot: Bandit learning for hyper-parameters optimization of high frequency trading strategy,Computer Science,Primary,To optimize trading strategy hyper-parameters dynamically.,Value-based Method; Other: Inverse Reinforcement Learning,Algorithmic Trading,"Proposed reward-agnostic UCB to learn dynamically adjustable trading strategies.
Leveraged inverse RL to learn reward function that estimates profits for each order.
Showed promising performance on real-world high-frequency commodity futures trading.",none,Derivative,2,Real-world Data,Real-time Orderbook,Order Book,Market Data,,01.04.2019,30.09.2019,No,Asia,Yes,Yes,Different time series; Different timeframes,No,No,Yes,No,"Other: Closed profit, Commision cost, Profit/comission ratio",No,No,Real-world deployment,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
226,Alkhamees 2021,DCRL: Approach for Pattern Recognition in Price Time Series using Directional Change and Reinforcement Learning,Mathis Jander,Alkhamees 2021,DCRL: Approach for Pattern Recognition in Price Time Series using Directional Change and Reinforcement Learning,Computer Science,Primary,Create directional change pattern recognition model for stock markets,Policy-based Method,Other: Directional Change Pattern Recognition,DCRL approach can identify financial events without need for additional data sources,none,Equity (Stocks),4,Real-world Data,Daily,Time Series,None,,17.03.2015,13.03.2020,No,Asia,No,Yes,Different time series,No,No,No,No,Other: Custom use case metrics,No,No,Simulation-based,Yes,Random or Naive Strategies,Yes,No,No,No
226,Alkhamees 2021,DCRL: Approach for Pattern Recognition in Price Time Series using Directional Change and Reinforcement Learning,Consensus,Alkhamees 2021,DCRL: Approach for Pattern Recognition in Price Time Series using Directional Change and Reinforcement Learning,Computer Science,Primary,Create directional change pattern recognition model for stock markets,Policy-based Method,Other: Directional Change Pattern Recognition,DCRL approach can identify financial events without need for additional data sources,none,Equity (Stocks),4,Real-world Data,Daily,Time Series,None,,17.03.2015,13.03.2020,No,Asia,No,Yes,Different time series,No,No,No,No,Other: Custom use case metrics,No,No,Simulation-based,Yes,Random or Naive Strategies,Yes,No,No,No
220,Ning 2021,Double Deep Q-Learning for Optimal Execution,Mathis Jander,Ning2021,Double Deep Q-Learning for Optimal Execution,"Economics, Econometrics and Finance; Mathematics",Primary,Applying a Double DQN architecture to the optimal execution problem using real limit order book data.,Value-based Method,Optimal Order Execution,"Formulated optimal execution problem as RL problem.
Developed RL technique modified from DDQN.
Showed that proposed model outperformed TWAP on seven out of nine stocks.",none,Equity (Stocks),9,Real-world Data,Other: Second,Order Book,Market Data,,02.01.2017,30.03.2018,No,North America,,Yes,Different time series; Different timeframes,No,No,Yes,No,"PnL; Other: Relative improvement over TWAP, Gain-loss ratio",No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
220,Ning 2021,Double Deep Q-Learning for Optimal Execution,Consensus,Ning2021,Double Deep Q-Learning for Optimal Execution,"Economics, Econometrics and Finance; Mathematics",Primary,Applying a Double DQN architecture to the optimal execution problem using real limit order book data.,Value-based Method,Optimal Order Execution,"Formulated optimal execution problem as RL problem.
Developed RL technique modified from DDQN.
Showed that proposed model outperformed TWAP on seven out of nine stocks.",none,Equity (Stocks),9,Real-world Data,Other: Second,Order Book,Market Data,,02.01.2017,30.03.2018,No,North America,No,Yes,Different time series; Different timeframes,No,No,Yes,No,"PnL; Other: Relative improvement over TWAP, Gain-loss ratio",No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
217,Kochliaridis 2023,Combining deep reinforcement learning with technical analysis and trend monitoring on cryptocurrency markets,Mathis Jander,Kochliaridis2023,Combining deep reinforcement learning with technical analysis and trend monitoring on cryptocurrency markets,Computer Science,Primary,"Improve deep reinforcement learning (DRL) trading by integrating technical indicators, trend signals, and safety mechanisms.",Policy-based Method; Actor-Critic Method; Model-based Method,Algorithmic Trading,"Demonstrated that integration of several modules leads to higher PnL and lower risk performance of TraderNet-CR architecture.
Incorporated the Smurfing method into the architecture to reduce impact of overestimating price volatility.",none,Crypto,5,Real-world Data,Other: Hourly,Time Series,Other: Search Trend Data,,01.01.2016,30.11.2022,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series,No,No,Yes,Yes,"Sharpe ratio; PnL; Max drawdown; Other: Investment risk, Sortino ratio",No,Yes,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
217,Kochliaridis 2023,Combining deep reinforcement learning with technical analysis and trend monitoring on cryptocurrency markets,Consensus,Kochliaridis2023,Combining deep reinforcement learning with technical analysis and trend monitoring on cryptocurrency markets,Computer Science,Primary,"Improve deep reinforcement learning (DRL) trading by integrating technical indicators, trend signals, and safety mechanisms.",Policy-based Method; Actor-Critic Method; Model-based Method,Algorithmic Trading,"Demonstrated that integration of several modules leads to higher PnL and lower risk performance of TraderNet-CR architecture.
Incorporated the Smurfing method into the architecture to reduce impact of overestimating price volatility.",none,Crypto,5,Real-world Data,Other: Hourly,Time Series,Other: Search Trend Data,,01.01.2016,30.11.2022,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series,No,No,Yes,Yes,"Sharpe ratio; PnL; Max drawdown; Other: Investment risk, Sortino ratio",No,Yes,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
216,Xu 2022,Stock movement prediction via gated recurrent unit network based on reinforcement learning with incorporated attention mechanisms,Mathis Jander,Xu2022,"Stock movement prediction via gated recurrent unit network based on
reinforcement learning with incorporated attention mechanisms","Computer Science, Neuroscience",Primary,To design a reinforcement learning-based model that improves stock price movement prediction for Chinese equities.,Value-based Method,Other: Stock Price Prediction,"Proposed two attention mechanism to learn news representation.
Designed GRU framework based on RL.
Proposed stock price movement prediction network.
Demonstrated that proposed model achieves state-of-the-art performance.",Lack of interpretability of model.,Equity (Stocks); Crypto,241,Real-world Data,Daily,Time Series,News Data,,01.01.2016,01.06.2016,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,Yes,Yes,Different time series; Different timeframes,Yes,Yes,Yes,No,"Other: Accuracy, Matthews correlation coefficient",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
216,Xu 2022,Stock movement prediction via gated recurrent unit network based on reinforcement learning with incorporated attention mechanisms,Consensus,Xu2022,"Stock movement prediction via gated recurrent unit network based on
reinforcement learning with incorporated attention mechanisms","Computer Science, Neuroscience",Primary,To design a reinforcement learning-based model that improves stock price movement prediction for Chinese equities.,Value-based Method,Other: Stock Price Prediction,"Proposed two attention mechanism to learn news representation.
Designed GRU framework based on RL.
Proposed stock price movement prediction network.
Demonstrated that proposed model achieves state-of-the-art performance.",Lack of interpretability of model.,Equity (Stocks); Crypto,241,Real-world Data,Daily,Time Series,News Data,,01.01.2016,01.06.2016,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,Yes,Yes,Different time series; Different timeframes,Yes,Yes,Yes,No,"Other: Accuracy, Matthews correlation coefficient",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
214,Suhail 2021,Stock market trading based on market sentiments and reinforcement learning,Mathis Jander,Suhail2021,Stock Market Trading Based on Market Sentiments and Reinforcement Learning,"Computer Science, Engineering, Materials Science, Mathematics",Primary,Develop a stock trading system that combines sentiment analysis with reinforcement learning.,Value-based Method,Algorithmic Trading,"Included market sentiments in RL-based system for stock trading.
Compared performance between system with and without sentiments.
Investigated influence of market news on stock prices.",Works for single stock.,Equity (Stocks),1,Real-world Data,Daily,Time Series,Market Data; News Data,,01.01.2006,31.12.2016,No,North America,No,No,None,No,No,Yes,No,PnL,No,No,Simulation-based,Yes,Random or Naive Strategies,Yes,No,No,No
214,Suhail 2021,Stock market trading based on market sentiments and reinforcement learning,Consensus,Suhail2021,Stock Market Trading Based on Market Sentiments and Reinforcement Learning,"Computer Science, Engineering, Materials Science, Mathematics",Primary,Develop a stock trading system that combines sentiment analysis with reinforcement learning.,Value-based Method,Algorithmic Trading,"Included market sentiments in RL-based system for stock trading.
Compared performance between system with and without sentiments.
Investigated influence of market news on stock prices.",Works for single stock.,Equity (Stocks),1,Real-world Data,Daily,Time Series,Market Data; News Data,,01.01.2006,31.12.2016,No,North America,No,No,None,No,No,Yes,No,PnL,No,No,Simulation-based,Yes,Random or Naive Strategies,Yes,No,No,No
213,Liu 2024,Limited or Biased: Modeling Subrational Human Investors in Financial Markets,Mathis Jander,Liu2024a,Limited or Biased: Modeling Subrational Human Investors in Financial Markets,"Economics, Econometrics and Finance; Psychology",Primary,"Model subrational human investor behavior (e.g. bounded rationality, myopia, prospect bias, optimism, pessimism) using RL.",Other: Custom,Algorithmic Trading,"Developed adaptive RL framework to model human subrational trading behavior.
Utilized market simulations to train and test subrational RL agents.
Examined different types of subrational trading behavior through specific market scenarios.",none,Equity (Stocks),1,Synthetic Data,Real-time Orderbook,Order Book,Market Data,,-,-,No,,Yes,Yes,Different time series,No,No,Yes,No,PnL; Other: Inventory,Yes,No,Simulation-based,Yes,Other: Proposed behavioral agents,Yes,No,No,No
213,Liu 2024,Limited or Biased: Modeling Subrational Human Investors in Financial Markets,Consensus,Liu2024a,Limited or Biased: Modeling Subrational Human Investors in Financial Markets,"Economics, Econometrics and Finance; Psychology",Primary,"Model subrational human investor behavior (e.g. bounded rationality, myopia, prospect bias, optimism, pessimism) using RL.",Other: Custom,Algorithmic Trading,"Developed adaptive RL framework to model human subrational trading behavior.
Utilized market simulations to train and test subrational RL agents.
Examined different types of subrational trading behavior through specific market scenarios.",none,Equity (Stocks),1,Synthetic Data,Real-time Orderbook,Order Book,Market Data,,-,-,No,,Yes,Yes,Different time series,No,No,Yes,No,PnL; Other: Inventory,Yes,No,Simulation-based,Yes,Other: Proposed behavioral agents,Yes,No,No,No
210,Cui 2024,Multi-period portfolio optimization using a deep reinforcement learning hyper-heuristic approach,Mathis Jander,Cui2024,Multi-period portfolio optimization using a deep reinforcement learning hyper-heuristic approach,"Business, Management and Accounting; Psychology",Primary,Develop a deep reinforcement learning (DRL) hyper-heuristic framework for multi-period portfolio optimization.,Policy-based Method,Portfolio Management,"The DRL hyper-heuristic model significantly outperforms traditional DRL models and rule-based strategies.
Achieves higher annualized returns and Sharpe ratios across five major stock markets.
Provides more robust and diversified portfolios, mitigating market uncertainties.
Demonstrates that incorporating expert domain knowledge improves learning efficiency​.","Computational complexity of the DRL approach.
Effectiveness might depend on availability and quality of market indicators.",Equity (Stocks),5,Real-world Data,Daily,Time Series,None,,26.09.2012,22.07.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,Yes,Yes,No,Sharpe ratio; PnL; Other: Annualized return,Yes,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
210,Cui 2024,Multi-period portfolio optimization using a deep reinforcement learning hyper-heuristic approach,Consensus,Cui2024,Multi-period portfolio optimization using a deep reinforcement learning hyper-heuristic approach,"Business, Management and Accounting; Psychology",Primary,Develop a deep reinforcement learning (DRL) hyper-heuristic framework for multi-period portfolio optimization.,Policy-based Method,Portfolio Management,"The DRL hyper-heuristic model significantly outperforms traditional DRL models and rule-based strategies.
Achieves higher annualized returns and Sharpe ratios across five major stock markets.
Provides more robust and diversified portfolios, mitigating market uncertainties.
Demonstrates that incorporating expert domain knowledge improves learning efficiency​.","Computational complexity of the DRL approach.
Effectiveness might depend on availability and quality of market indicators.",Equity (Stocks),5,Real-world Data,Daily,Time Series,None,,26.09.2012,22.07.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,Yes,Yes,No,Sharpe ratio; PnL; Other: Annualized return,Yes,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
207,Charpentier 2023,Reinforcement Learning in Economics and Finance,Mathis Jander,Charpentier 2023,Reinforcement Learning in Economics and Finance,"Computer Science; Economics, Econometrics and Finance",Secondary,Review state‐of‐the‐art reinforcement learning (RL) techniques and their applications in economics and finance. ,Other: n/a,Other: -,n/a,n/a,Other: n/a,n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,,n/a,n/a,,,,,Other: n/a,,,,,Other: n/a,,,,No,n/a,n/a,No,No,Yes
207,Charpentier 2023,Reinforcement Learning in Economics and Finance,Consensus,Charpentier 2023,Reinforcement Learning in Economics and Finance,"Computer Science; Economics, Econometrics and Finance",Secondary,Review state‐of‐the‐art reinforcement learning (RL) techniques and their applications in economics and finance. ,Other: n/a,Other: -,n/a,n/a,Other: n/a,n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,,n/a,n/a,Other: n/a,,Other: n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,Other: n/a,No,n/a,n/a,No,No,Yes
203,Zhang 2023,Reinforcement Learning for Stock Prediction and High-Frequency Trading With T+1 Rules,Mathis Jander,Zhang2023,Reinforcement Learning for Stock Prediction and High-Frequency Trading With T+1 Rules,"Computer Science, Engineering, Materials Science",Primary,To develop an adaptive high-frequency trading (HFT) framework that handles T+1 rules.,"Other: Inverse Reinforcement Learning, Bandit Learning",Algorithmic Trading,"Transformed HFT problem into RL problem.
Proposed rolling training approach that can generate adaptive model for new market conditions.
Considered constraint of limited short position into reward function.
Proposed approach to dynamically reduce action space.
Deployed framework into production system and greatly increased profit.",none,Equity (Stocks),200,Real-world Data,Other: 3 Second,Order Book,Market Data,,01.03.2020,18.03.2022,No,Asia,No,Yes,Different time series; Different timeframes,No,No,Yes,No,"Other: Absolut profit, Profit/comission ratio",No,No,Real-world deployment,Yes,Random or Naive Strategies; Algorithmic Baselines,No,No,No,No
203,Zhang 2023,Reinforcement Learning for Stock Prediction and High-Frequency Trading With T+1 Rules,Consensus,Zhang2023,Reinforcement Learning for Stock Prediction and High-Frequency Trading With T+1 Rules,"Computer Science, Engineering, Materials Science",Primary,To develop an adaptive high-frequency trading (HFT) framework that handles T+1 rules.,"Other: Inverse Reinforcement Learning, Bandit Learning",Algorithmic Trading,"Transformed HFT problem into RL problem.
Proposed rolling training approach that can generate adaptive model for new market conditions.
Considered constraint of limited short position into reward function.
Proposed approach to dynamically reduce action space.
Deployed framework into production system and greatly increased profit.",none,Equity (Stocks),200,Real-world Data,Other: 3 Second,Order Book,Market Data,,01.03.2020,18.03.2022,No,Asia,No,Yes,Different time series; Different timeframes,No,No,Yes,No,"Other: Absolut profit, Profit/comission ratio",No,No,Real-world deployment,Yes,Random or Naive Strategies; Algorithmic Baselines,No,No,No,No
200,Massahi 2024,A deep Q-learning based algorithmic trading system for commodity futures markets,Mathis Jander,Massahi2024,"A deep Q-learning based algorithmic trading system for commodity 
futures markets","Computer Science, Engineering",Primary,Develop an intraday algorithmic trading system for commodity futures.,Value-based Method,Algorithmic Trading,"Proposed DQN-based algorithmic trading strategy for commodity futures.
Developed futures market simulator.
Defined continuous state and action variables.
Demonstrated outperformance of benchmarks.",none,Commodity,1,Real-world Data,Other: 30 Minutes,Time Series,Market Data,,01.01.2013,31.12.2017,No,Asia,Yes,Yes,Different time series; Different timeframes,No,Yes,No,No,"Max drawdown; Other: Annual return, Annual Sortino ratio",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines,Yes,No,Yes,No
200,Massahi 2024,A deep Q-learning based algorithmic trading system for commodity futures markets,Consensus,Massahi2024,"A deep Q-learning based algorithmic trading system for commodity 
futures markets","Computer Science, Engineering",Primary,Develop an intraday algorithmic trading system for commodity futures.,Value-based Method,Algorithmic Trading,"Proposed DQN-based algorithmic trading strategy for commodity futures.
Developed futures market simulator.
Defined continuous state and action variables.
Demonstrated outperformance of benchmarks.",none,Commodity,1,Real-world Data,Other: 30 Minutes,Time Series,Market Data,,01.01.2013,31.12.2017,No,Asia,Yes,Yes,Different time series; Different timeframes,No,Yes,No,No,"Max drawdown; Other: Annual return, Annual Sortino ratio",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines,Yes,No,Yes,No
198,Jeong 2023,Safety AARL: Weight adjustment for reinforcement-learning-based safety dynamic asset allocation strategies,Mathis Jander,Jeong2023,Safety AARL: Weight adjustment for reinforcement-learning-based safety dynamic asset allocation strategies ,"Computer Science, Engineering",Primary,Develop Safety Asset Allocation Reinforcement Learning (AARL) to minimize risk in dynamic asset allocation.,Actor-Critic Method,Portfolio Management,"Introduced new approach called Safety AARL.
Defined novel reward function.
Defined novel action space modelling.
Demonstrated stable returns on upward slope.",Number of assets that can be used.,Equity (Stocks),24,Real-world Data,Minute,Time Series,None,,01.01.2009,31.03.2022,No,North America,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Annual return, Cumulative return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
198,Jeong 2023,Safety AARL: Weight adjustment for reinforcement-learning-based safety dynamic asset allocation strategies,Consensus,Jeong2023,Safety AARL: Weight adjustment for reinforcement-learning-based safety dynamic asset allocation strategies ,"Computer Science, Engineering",Primary,Develop Safety Asset Allocation Reinforcement Learning (AARL) to minimize risk in dynamic asset allocation.,Actor-Critic Method,Portfolio Management,"Introduced new approach called Safety AARL.
Defined novel reward function.
Defined novel action space modelling.
Demonstrated stable returns on upward slope.",Number of assets that can be used.,Equity (Stocks),24,Real-world Data,Minute,Time Series,None,,01.01.2009,31.03.2022,No,North America,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Annual return, Cumulative return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
196,Tsantekidis 2023,Modeling limit order trading with a continuous action policy for deep reinforcement learning,Mathis Jander,Tsantekidis2023,Modeling limit order trading with a continuous action policy for deep reinforcement learning,"Computer Science, Neuroscience",Primary,Develop a DRL framework that allows trading agents to place both market orders and limit orders.,Actor-Critic Method,Algorithmic Trading,"Proposed framework for learning agents capable of placing continuous  limit orders.
Demonstrated advantages over market order only approach.
Demonstrated that limit order agents outperform market agents in terms of profits.",none,Currency,27,Real-world Data,Other: Hourly,Time Series,None,,01.01.2018,31.12.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,No,No,Yes,No,Other: Average annualized PnL,Yes,No,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
196,Tsantekidis 2023,Modeling limit order trading with a continuous action policy for deep reinforcement learning,Consensus,Tsantekidis2023,Modeling limit order trading with a continuous action policy for deep reinforcement learning,"Computer Science, Neuroscience",Primary,Develop a DRL framework that allows trading agents to place both market orders and limit orders.,Actor-Critic Method,Algorithmic Trading,"Proposed framework for learning agents capable of placing continuous  limit orders.
Demonstrated advantages over market order only approach.
Demonstrated that limit order agents outperform market agents in terms of profits.",none,Currency,27,Real-world Data,Other: Hourly,Time Series,None,,01.01.2018,31.12.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,No,No,Yes,No,Other: Average annualized PnL,Yes,No,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
194,Huo 2024,A study of hybrid deep learning model for stock asset management,Mathis Jander,,,,,,,,"Presented novel hybrid deep learning model.
Incorporated ADX prediction from LSTM model.
Demonstrated effectiveness of proposed hybrid model.",none,Equity (Stocks),10,Real-world Data,Daily,Time Series,None,,01.07.2010,24.10.2023,No,North America,No,Yes,Different timeframes,No,No,Yes,Yes,Sharpe ratio; Max drawdown; Other: Cumulative return,No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,Yes,No,No
194,Huo 2024,A study of hybrid deep learning model for stock asset management,Consensus,Huo2024,"A study of hybrid deep learning model
for stock asset management",Computer Science,Primary,Predict average directional index for stock trends.,Other: not specified,Other: Directional Price Prediction,"Presented novel hybrid deep learning model.
Incorporated ADX prediction from LSTM model.
Demonstrated effectiveness of proposed hybrid model.",none,Equity (Stocks),10,Real-world Data,Daily,Time Series,None,,01.07.2010,24.10.2023,No,North America,No,Yes,Different timeframes,No,No,Yes,Yes,Sharpe ratio; Max drawdown; Other: Cumulative return,No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,Yes,No,No
