Code,Description,Budget,Cordis Link,Website
Accelerate the design and Insertion of nonCRM hard Materials for Next generation EXTreme applications (AIM-NEXT),"The EU prioritises the expeditious design and integration of hard materials based on non-critical raw materials for use in tools and components for extreme applications. Consequently, European industry and academic institutions require doctoral students to cultivate skills that align with both present and future industry needs, emphasising more sustainable designs and production processes. The MSCA-funded AIM-NEXT project aims to establish a comprehensive and cohesive training and research programme. Following a structured framework, it will deliver interdisciplinary training to 10 doctoral candidates from top European universities and leading industrial organisations across various sectors. The programme aims to equip skilled PhD specialists with technical and transferable skills, providing international training and robust career opportunities.",2710166.4,https://cordis.europa.eu/project/id/101119897,http://www.upc.edu/
Joint Communication and Sensing in 6G Networks,"Europe lost its leading position in the telecommunications industry to the United States and Asia. However, new vertical services such as remote health monitoring, Industry 4.0 and autonomous vehicles offer the potential for Europe to regain its leadership in the 6G arena. These services largely require precise environmental sensing combined with advanced communication capabilities, hence motivating joint communication and sensing in 6G systems. Funded by the Marie Skłodowska-Curie Actions programme, the 6thSense project will facilitate sensing in the emerging 6G frequency bands and address the complexities of distributed sensing and networking. The project will leverage classical signal-processing optimisation models and advanced machine learning techniques with the objective of transferring them to the healthcare, manufacturing, and automotive sectors.",2653495.2,https://cordis.europa.eu/project/id/101119652,http://www.kuleuven.be/
MEDiverSEAty. In quest of the human dimensions of MEDiterranean Marine Biodiversity,"The EU’s objective is to sustainably manage Mediterranean marine biodiversity while incorporating the protection of diversity and human development. Nevertheless, two critical gaps exist: a public misunderstanding regarding the sea, and the lack of acknowledgment of diversity as a pivotal factor influencing the relationship between European citizens and marine biodiversity. The MSCA-funded MEDiverSEAty project is establishing an interdisciplinary Doctoral Network Training and Research Programme across six European countries. This programme will provide training for 10 PhD candidates in marine biodiversity research through a combination of collaborative academic and non-academic projects, alongside local and network-based training. The goal is to emphasise the human role in conservation and promote biodiversity as a central focus of Mediterranean Ocean Literacy.",2496211.2,https://cordis.europa.eu/project/id/101119700,http://www.unimib.it/
Explainable AI for Molecules - AiChemist,"Optimising biological activity and physico-chemical properties, while minimising their toxicity, are objectives when developing new compounds in chemical industries. Advanced machine learning (AI) methods are indispensable to this process. They are also increasingly used in environmental chemistry to identify compounds damaging to the environment and humans. Traditional machine learning (ML) methods provide reliable predictions though only for compounds similar to the training set, thus defining their applicability domain (AD). Emerging representation learning approaches can efficiently approximate the physical interactions of molecules with an accuracy comparable to physics-based methods in only fractions of time. Models based on these representations should have much larger AD due to pre-training on large chemical sets of theoretical values. Here we will develop and benchmark representation learning approaches, addressing their accuracy and ADs, using public and in-house data for endpoints ranging from chemical reactions to toxicity. While explainable AI (XAI) methods are actively developing in the ML community, there is a gap with their use in chemistry, i.e. there is a need to translate their results to the end users, chemists and regulatory bodies. Since the research program is tightly coupled with the target users - large companies, regulatory agencies and SMEs - it provides a clear path for technology transfer from academia to industry. AiChemist will provide structured training to its fellows through a combination of online courses and schools, strengthening European innovation capacity in the education of specialists in AI methods. The fellows will receive comprehensive training in transferable skills. The complementary expertise and strong commitment of the partners make this ambitious innovative research program realistic via the proper allocation of individual tasks and resources, as described below.",3028356.0,https://cordis.europa.eu/project/id/101120466,na
DoctorAte in Sport Ethics and Integrity,"In the Anthropocene era, when the great outdoors has become a cherished escape for many, the challenges of preserving our natural treasures have multiplied. The surge in outdoor recreation activities and tourism raises concerns about sustainable management. With the support of the Marie Skłodowska-Curie Actions programme, the VIMAS project will develop new models for governing nature areas, ensuring they promote biodiversity, people’s well-being, and business growth. VIMAS aims to revolutionise the way we monitor and manage nature areas for tourism and recreation. The project’s focus is on developing monitoring techniques grounded in digital data, better knowledge of the socioeconomic and ecological impacts, and interdisciplinary management indicators.",2985883.2,https://cordis.europa.eu/project/id/101120342,na
"Visitor monitoring and management in protected and recreational areas: new challenges, novel solutions for the Anthropocene","Visitor management of protected and recreational areas in the Anthropocene
Loved by many, practised by even more. Recreation in the outdoors provides large benefits to individuals and societies, but with increased participation also follows challenges with sustainable management of nature areas. VIMAS’ primary objective is to develop more efficient governance of nature areas for tourism and recreation, in the best way possible for biodiversity, people’s quality of life and business development. This will be achieved through research about smarter monitoring methods, improved visitor management and more inclusive governance. Recreation in the outdoors has transformed in several ways; besides the increase in volume of visitors, the behaviour of visitors has diversified; visitors partake in a wider set of activities, visit more remote places, take more diversified trips in nature, have different motivations for visitation as well as levels of experience and skills. New monitoring and management tools honed for the Anthropocene must address the cumulative social and ecological impacts from increased tourism and recreation while striking a balance with ethics, privacy, and equal opportunities. To do this successfully, VIMAS focuses on novel monitoring techniques based on digital data developed and tested in the Nordic-Baltic region to address the contemporary challenges of increased demand, socio-economic inequality, and uncertain climate futures. The innovations of VIMAS are to realise potential from new knowledge developed in the intersection between quantitative and qualitative social sciences, ecology, and geo-informatics technology based on inclusive approaches for non-agency stakeholders and citizens. Through this, VIMAS will develop new, effective evidence-based tools towards smart governance and planning for recreational and protected natural areas for the next generation, optimising the delivery of public health, community well-being, business success as well as other ecosystem services while protecting environmental values.",2892664.8,https://cordis.europa.eu/project/id/101120250,na
Yeast-based solutions for sustainable Aviation Fuels,"Sustainable aviation fuels (SAF) are the only short-term alternative to fossil fuels in aviation. Considering the increased number of passengers forecasted in the near future, a massive increased in SAF production has been estimated in the years to come. To fulfill this increase in demand, the combination of existing and new renewable production chains is needed. Current SAF-producing pathways are at different levels of maturity, implementation or even commercialization. However, lowering the cost and supply chain development are key challenges for commercial-scale SAF deployment. Using biowastes as feedstock for SAF is challenging but necessary to make SAF competitive with fossil fuels. In this context, yeasts may be key players to generate economically-viable SAF intermediates (terpenes or fatty acids (FA)) in an environmentally-friendly way from biowaste. This SAF production by biological means is very new and presents a lot of remaining challenges and training gaps that have to be addressed. YAF research programme aims at; i) producing carbon sources from biowastes, ii) developing new yeast cell factories to produce SAF, iii) designing new bifunctional catalysts, iv) achieving efficient strategies for FA/terpenes extraction, and v) creating robust framework tailored to the scaling-up methodologies and life-cycle sustainability assessment of different SAF producing routes, which will support decision-making. To achieve this, the right integration of biology, biotechnology, chemical engineering and environmental sciences will be required. Thus, the prime training/networking aim of YAF is to train the next generation of researchers in a highly interdisciplinary and intersectorial research environment such that they can soundly address upcoming challenges concerning production yeast-based SAF. YAF has been designed to strengthen European research and innovation, enhancing research visibility and generating a critical mass to address European (and global) challenges",2637583.2,https://cordis.europa.eu/project/id/101120389,na
Membranes as Enablers for Future Biorefineries: from Fabrication to Advanced Separation Technologies,"""The doctoral network """"Mem-Fast"""" - Membranes as Enablers for Future Biorefineries: from Fabrication to Advanced Separation Technologies - aims to educate 10 future professionals, who have the needed understanding to facilitate the utilisation of membranes in the growing biorefining industry. The research and training activities implemented in the Mem-Fast network form a “first of its kind” novel and unique doctoral training program. This reflects changing research priorities and emerging disciplines related to improving biorefinery processes to grow the Circular Economy. The network structures training at the European level in beneficiaries (CNR-ITM, LUT, LU, ULANC, UMK, UNL, UT) and associated partners (Alfa Laval, Aquaporin, Fibenol, Deltamem, Domsjö, B4C asp, MemBrain, NX Filtration, RAIZ-Navigator, UNICAL, UPM) across 11 countries giving the doctoral students a highly applied understanding on both membrane manufacturing and membrane processes and biorefinery processes that are critical to the future of EU’s chemical sector and circular economy. The individual projects of the doctoral candidates aim to push forward the use of membranes in biorefineries through the development of advanced membranes, novel tools for monitoring and controlling of fouling and novel continuous processes for simultaneous bioconversion and recovery of products. The network program leads to a new approach to training for the sector and will provide a first cohort of highly skilled future research leaders and managers by combining this network knowledge. Furthermore, it creates a basis for a European doctoral education focused on membranes in biorefineries that will be continued in the future.""",2697926.4,https://cordis.europa.eu/project/id/101120264,na
Data to Enable Transformation and Optimisation for Concrete Sustainability,"Cement production is responsible for 8 % of global CO2 emissions, primarily attributed to the processing of limestone to produce clinker. However, clinker can be replaced by raw materials such as clay, ashes, slags, or recycled concrete fines. Supplementary cementitious materials (SCM) offer an environmentally friendly alternative to Portland Cement. The MSCA-funded DETOCS project aims to use SCMs in existing production facilities. This will be achieved through the implementation of digital tools to predict and control the quality of cement and concrete blends. The project’s objective is to decrease the current clinker factor, which stands at approximately 70 %, to 40 % by 2030, and further to 25 % by 2035. Additionally, the project provides training for doctoral candidates, contributing to the development of skilled professionals in the field.",3195659.9,https://cordis.europa.eu/project/id/101119929,na
Emerging Nanotools for Soft Matter Characterisation and Manipulation,"The progress of nanotools has sparked significant innovation and growth in technologies such as nano-robotics and biomechanics, providing revolutionary solutions for their respective sectors. However, the effectiveness of nanotools is constrained by the necessity for high spatiotemporal resolution, as well as non-invasive, multi-scale, and multi-dimensional imaging and manipulation technologies to access even smaller scales. The MSCA-funded NanoRAM project seeks to collaborate with academic and industrial partners to educate a new generation of Early-Stage Researchers (ESRs) in the development and application of recently created nanotools for manipulation and characterisation in soft matter research. The project aims to equip ESRs with a diverse set of skills and knowledge to foster innovation and excellence in their respective sectors.",2822896.8,https://cordis.europa.eu/project/id/101120146,http://www.au.dk/
Ion channels in erythrocytes: A novel understanding from regulation of erythropoiesis and physiological function to diagnostic measures and therapeutic concepts,"Erythrocytes represent an estimated 84% of all cells in the human body. During circulation, they experience a huge variety of physical and chemical stimulations, such as pressure, shear stress, hormones or osmolarity changes. These signals are translated into cellular responses through ion channels that modulate erythrocyte function. Ion channels in erythrocytes have only recently been recognised as the utmost important players in physiology and pathophysiology. Despite this awareness, their signalling, interactions and concerted regulation, such as the generation and effects of 'pseudo action potentials', remain elusive. INNOVATION proposes a systematic, conjoined approach using molecular biology, in vitro erythropoiesis, state-of-the-art electrophysiological techniques, methods to detect erythrocyte functionality and patient samples (channelopathies and other red blood cell-related diseases) to decipher and make use of ion channel functions in terms of disease treatment concepts. We need to overcome the challenges that hinder the gain of knowledge within the field, using genetic manipulation of progenitors, cell differentiation into erythrocytes, statistically efficient electrophysiological recordings of ion channel activity that are limited by the heterogeneity of the cell population (120 days of lifespan without any protein renewal) or access to large cohorts of patients.
Our multidisciplinary team includes biophysicists and cell biologists to investigate erythrocyte characteristics and bioengineers to develop diagnostic devices. INNOVATION involves academic research centres as well as diagnostic labs providing patient samples, blood bank research centres developing cultured transfusion products and SMEs that provide and develop diagnostic tools or innovative therapeutic red blood cell products. The consortium offers on-site training, secondments and a variety of courses in transferrable and complementary skills to 10 doctoral candidates.",2690092.8,https://cordis.europa.eu/project/id/101120168,na
Investigation and Control of Hydrogen flames Across the Scales,"The behaviour of hydrogen flames under plasma discharge and electromagnetic conditioning offers an opportunity to expedite the transition to zero-carbon energy and transportation sectors. However, a more comprehensive understanding of these processes is essential. The MSCA-funded ICHAruS project aims to create an innovative combustion device that is ultra-low NOx and flashback-proof. The project will explore the interaction between hydrogen combustion and electromagnetic fields, identify critical parameters, and develop turbulence combustion models. Additionally, it will conduct experimental and numerical investigations into innovative electromagnetic-assisted control technologies for stabilising flames. The project will provide doctoral training through a collaboration between academic and industry partners, including major European gas turbine manufacturers.",2681280.0,https://cordis.europa.eu/project/id/101120321,https://www.unisalento.it/
Human - Centric Indoor Climate for Healthcare Facilities,"Annually, over four million hospital patients in the EU are plagued by healthcare-associated infections (HAIs), a predicament intensified by the global crisis of antimicrobial resistance. These infections not only exact a financial toll, but also escalate the risk of patient mortality. With the support of the Marie Skłodowska-Curie Actions programme, the HumanIC project brings together leading academic teams, healthcare facilities, and HVAC industry partners to transform hospital environmental design within the human-centric climate. By advancing our understanding of pathogen dispersion and creating innovative tools and techniques, HumanIC aims to reduce infection risk by at least 30 %, all while enhancing thermal comfort, safety, and energy efficiency.",2707840.8,https://cordis.europa.eu/project/id/101119726,http://www.pw.edu.pl/
Identifying mechanisms and novel treatments of bone pain – closing the gap to the clinic.,"Musculoskeletal pain stemming from conditions such as arthritis and bone-related cancers poses a considerable societal burden. Current treatment options, including opioids, non-steroidal anti-inflammatory drugs, and disease-modifying drugs, often fall short in providing adequate pain relief. The MSCA-funded BonePainIII project will address this challenge by developing comprehensive training programmes for researchers. The objective is to enhance the clinical translation of bone pain research and drug discovery, pinpoint new mechanisms and therapeutic targets, and assess the efficacy of clinical-stage therapeutics. To achieve these goals, the project will use humanised organ-on-a-chip models, mouse models, and patient biopsies to gather clinically relevant data. Furthermore, the initiative will offer innovative interdisciplinary training to students spanning various sectors.",2578636.8,https://cordis.europa.eu/project/id/101120524,http://www.ku.dk/
Lasers for Accelerated Net-Zero Transition,"Electric vehicle manufacturing contributes to approximately 30 % of vehicle emissions due to inefficient material use, low process efficiency, product defects, and waste. Laser material processing holds the potential to address these issues. Advances in laser technology and new scanning optics can facilitate efficient use of materials, enhance process efficiency, and elevate product quality, ultimately leading to a reduction in CO2 emissions. The MSCA-funded Lasers4NetZero project aims to address these challenges by training PhD candidates with a focus on laser material processing, AI for quality control, and advanced process simulation. The programme will integrate scientific and transferable training activities to minimise waste and defects, while simultaneously enhancing process efficiency and product quality. With the collaboration of academic and industrial partners, Lasers4NetZero ensures that the final solutions developed are market ready.",2595232.8,https://cordis.europa.eu/project/id/101119711,http://www.unibo.it/
C-NEWTRAL: smart CompreheNsive training to mainstrEam neW approaches for climaTe-neutRal cities through citizen engAgement and decision-making support for innovative governance and integrated pLanning,"The challenge of achieving climate-neutral cities is a pressing concern, given the complex urban activities and diverse stakeholders involved. To address this, the European Commission has identified participative city governance and integrated urban planning as crucial drivers. However, there is a shortage of highly-trained interdisciplinary professionals to ensure progress. With the support of the Marie Skłodowska-Curie Actions programme, the C-NEWTRAL project aims to bring together and train a cadre of champion researchers ready to undertake the climate-neutral city challenge. C-NEWTRAL will provide a structured framework for individual research projects that span a spectrum of urban challenges. What is unique about C-NEWTRAL is its focus on training researchers in advanced participative methods, governance, and integrated planning tools for transitioning to climate neutrality.",2715796.8,https://cordis.europa.eu/project/id/101119603,http://www.ucd.ie/
Controlled transport of water and ions in nanoconfinement,"A new technology is emerging, based on controlled transport of matter through channels with dimensions from Ångströms to nanometres. On these scales, the macroscopic description of transport phenomena breaks down, and it is necessary to integrate experiments with fully atomistic model calculations, and control non-equilibrium dynamics. Recent exciting developments in experimental and theoretical methods mean that we are
finally at a stage where exploration of key processes is viable. For this focus, it is essential to train a new generation of early-stage researchers in diverse multidisciplinary and inter-sectorial skills required. This, in a few words, is the aim of FLUXIONIC network, which spans four European countries and brings together Europe’s (and world’s) leading scientists and entrepreneurs. Precisely because the topic of FLUXIONIC bridges Physics, Chemistry and Materials science, and necessitates close collaboration with emerging nanoscale industries, our major objective is to offer integrated supra-disciplinary training and a strong program of secondments with seamless cross-sectoral interactions. The DN program provides an ideal framework for creating such collaborative research/training platform. The impact of FLUXIONIC will be broad. We will train young researchers with unique and diverse profiles, who might become future leaders in the rapidly growing fields of nanoscience and nanotechnology. Our research will
impact core challenges of modern society: clean water, disease treatment, sustainable energy production/storage/usage. Investing in training the new generation of researchers in this emerging field of science and technology is determinant for Europe’s future position as the world-leading power promoting sustainable development.",2705760.0,https://cordis.europa.eu/project/id/101119598,na
Controlling Colloidal Gels for Novel Sustainable Materials,"Transformative advances in product formulation are required to meet the demand for sustainability across a wide range of EU-priority industrial areas. Colloidal gels – complex, out-of-equilibrium soft matter systems – are core components in many of the formulations encountered therein, including building materials (e.g. cement), energy materials (e.g. batteries and fuel cells), consumer care and food products, and medicine. Current industrial practice requires delicate balancing between thermodynamic parameters (composition and interactions), quenching kinetics, and processing conditions to achieve gel structures with the desired material performance (e.g. mechanical, thermal, or electrical properties). Without a robust physical understanding of how the microstructure can be controlled and how this links to material properties, this balancing remains limited to trial and error. Recent advances in colloidal-gel physics strongly imply that the rational design of colloidal gel properties is within reach. This design is based on tuning gel microstructure via external stimuli, such as shear, ultrasound, and (magnetic/electric) fields, and the addition of non-Brownian inclusions. The CoCoGel doctoral network will enable the translation from the current academic state of the art to industrial practice, focusing on these routes to controlling microstructure. We will bring together 6 academic and 6 industrial partners – experts in a range of experimental, computational, and theoretical techniques – who can realize the creation of new sustainable materials and production processes via these routes. Key to the success of our industrial doctoral training network is a deepening and extending of existing collaborations, as well as the training of a new generation of researchers with both multi-disciplinary expertise in soft materials and practical experience engaging with industry. These will drive further sustainable development over a wide range of European industries.",3471588.0,https://cordis.europa.eu/project/id/101120301,na
EMPOWER CONVERGED OPTICAL WIRELESS CONFIGURATIONS WITH CELL-FREE TECHNOLOGIES FOR HIGH-DENSITY 6G NETWORKS,"EMPOWER-6G proposes a novel converged optical-wireless architecture that realizes an efficient 6G Cell-Free (CF)-based access network for high-density and high-coverage deployments. The proposed architecture takes full advantage of the distributed processing CF concept, as well as of wireless mmWave solutions, while being in-line with the O-RAN Alliance. Specifically, the EMPOWER-6G vision is based on the development of novel solutions at the radio access domain by enabling emerging CF technologies, while also contributing innovations at the optical transport domain and significantly evolving the MEC system towards fully elastic Edge Computing. The EMPOWER-6G network configuration deploys a distributed Edge infrastructure with Data Centres (DCs) structured in 2 tiers, featuring Radio Edge Regional Edge nodes, where the former DCs hosts the Network Functions of the (virtualized) RAN fully aligned with the O-RAN specifications, while the latter DCs host non-real-time network functions. Thus, EMPOWER-6G will shape a novel 6G network configuration by addressing challenges at the radio-edge, the regional-edge, and the network-management domains. At the radio-edge domain, EMPOWER-6G aims at designing novel CF networking mechanisms that will allow the significant scaling up of Radio Unit (RU) deployment in a cost-effective manner, by exploiting the application of the distributed processing CF concept, based on the disaggregation of the traditional CF Central Processing Unit (CPU) into Distributed Units (DUs) and a Central Unit (CU), in line with the 3GPP NG-RAN architecture. In parallel, EMPOWER-6G proposes an innovative mmWave Hybrid MIMO solution, with beam-steering and beam-sharing support. At the regional-edge domain, EMPOWER-6G aims at providing a new design for an optical regional edge network with FTTH support in order to achieve optimum functional splitting options, while also supporting novel control-plane protocols for CF networking support.",3821918.4,https://cordis.europa.eu/project/id/101120332,na
Molecular Dynamic of Neurons during C. elegans Lifespan,"The objective of this network is to train, through research, a group of 10 young scientists, giving them the practical skills and knowledge necessary to tackleThe function of a neuron is determined by its expression of morphogen receptors and adhesion proteins (to pattern its connectome), of synaptic protein complexes (for intercellular communication), and of ion channels (for neuronal excitability and signal propagation). The protein composition of any neuron is itself dependent on gene expression controlled by transcription factors and by post-transcriptional regulations (splicing, translation, protein stability). Finally, neurons are highly compartmentalized cells and require trafficking of proteins to their correct locations. Alterations of these neuronal features can therefore be observed at multiple levels: molecular, cellular, and behavioral. We will focus on three neuronal features: i) gene expression levels as measured by RNA sequencing and proteomics, ii) assembly of functional multiprotein complexes (by high resolution microscopy and proximity dependent protein labelling), and iii) phenotypic output via a combination of optogenetics, calcium imaging, and behavioral assays.
This research program will help define the critical features that differentiate between physiological and pathological states of a given neuron. Such biomarkers would be precious to facilitate drug screens or develop novel therapeutic strategies for human neurological diseases.
The interdisciplinary research and training programme will cover a broad spectrum of approaches and topics, from
intracellular molecular interactions to cell–cell communication, gene expression profiling, the impact of deleterious mutations,
behavioral studies, and translation regulation. Coupled with extensive network-wide transferable skills training, this will prepare the
fellows for careers in the medically important field of neurobiology as well as a broad range of carriers including government and
industry.",2748232.8,https://cordis.europa.eu/project/id/101119745,na
Advanced Engineering of Nitric Oxide Based Therapeutics for Triple Negative Breast Cancer Training Network,"NO-CANCER-NET will focus on Triple Negative Breast Cancer (TNBC) and Nitric Oxide (NO)-related therapeutic development. TNBC accounts for 10-20% breast cancers and is characterised by diagnosis at an early age and an aggressive phenotype. It indeed develops incurable distant metastasis within the first 2-3 years in approximately 30% patients. Despite significant efforts, TNBC treatment is limited to surgery and chemotherapy laying bare the urgent need for new targeted therapeutic development. Our network has demonstrated an important role for inducible nitric oxide synthase (iNOS) and NO signalling in TNBC metastatic progression, with efficacy of iNOS targeting demonstrated in a phase I/II clinical trial of patients with distant metastasis. Based on NO’s yin/yang effect on tumour biology, iNOS/NO system can be targeted by either inhibiting iNOS and reducing the physiological levels of NO which drive tumour progression, or vice versa using NO donating drugs to increase NO to tumouricidal levels (similar to immune cells NO-mediated tumour targeting).

The NO-CANCER-NET Doctoral Network (DN) addresses two fundamental gaps in European training: 1) a network where a core of Doctoral Candidates (DCs) can share a basic understanding of molecular target discovery, models of tumour biology assessment, drug synthesis and delivery, developing diagnostics, handling complex spatial imaging and omics expression data profiles; and 2) solid interdisciplinary training in experimental, computational and clinical research. NO-CANCER-NET will equip our DCs to understand the complexities of bench to bedside cancer research, the importance of an interdisciplinary approach and an understanding of the fundamentals of related disciplines. This will be of great importance in preparing DCs to work between academia, industry and in clinical healthcare providers.",2736849.6,https://cordis.europa.eu/project/id/101119873,na
Ion Mobility Mass Spectrometry Training Network,"The Ion Mobility-High Resolution Mass Spectrometry (IM-HRMS) platform, a powerful analytical tool, holds potential across various fields. However, challenges arise in data collection, analysis, and reporting. Achieving harmonisation involves pushing the boundaries of instrumentation and enhancing our fundamental understanding and applications. The MSCA-funded MobiliTraIN project will train 10 doctoral candidates in IM-HRMS. Their focus will be on developing new methods for biopharmaceutical development, biological omics studies, and contaminant screening. They will acquire a unique skill set, transforming them into leading experts in ion mobility. This expertise will not only advance their careers, but also contribute to supporting Europe's innovation capacity. The project’s overall goal is to fully realise the potential of IM-HRMS in ensuring public health safety.",2716898.4,https://cordis.europa.eu/project/id/101119562,http://www.boku.ac.at/
Epithelial Exchange Surfaces – From organizing principles to novel culture models of the gatekeepers of the body,"Epithelia consist of cell layers that shield our body from external threats and regulate the exchange of materials with the surrounding environment. Malfunctions in these layers lead to diseases, and the disruption of epithelial organisation is a characteristic feature of tumours. The MSCA-funded SurfEx project addresses two critical challenges in tackling epithelial diseases. Firstly, there is a demand for highly skilled scientists capable of bridging basic research in small model organisms and cell culture with translational research employing advanced 3D culture models that replicate the organisation and physiology of human epithelia. Secondly, there is a need to enhance our understanding of how the apical exchange surface shapes and functions in both health and disease. The project aims to establish a multidisciplinary, intersectoral training and research programme.",2723263.2,https://cordis.europa.eu/project/id/101119504,http://www.uu.nl/
The doctoral rift science network for the energy transition,"Continental rifts are crucial geographic regions that encompass geo-hazards, such as earthquakes and volcanic activity. These hazards pose a potential threat to human habitation, while also serving as hotspots for valuable resources like geothermal energy or hydrogen. Consequently, they present a promising avenue for cleaner energy solutions. However, their efficient use necessitates sufficient data and a comprehensive understanding of continental rifts. The MSCA-funded TALENTS project aims to establish a European-based research network in collaboration with academic and beneficiary partners. This network will focus on training researchers with the requisite skills and knowledge to advance understanding of continental rifts and devise innovative green solutions.",2700252.0,https://cordis.europa.eu/project/id/101119486,http://www.gfz-potsdam.de/
"Material Science Innovation for Accelerated, Sustainable and Safe Implementation of Carbon Capture and Storage","The innovation and advancement of the materials science sector can contribute significantly to achieving various goals. These benefits are particularly promising for the realisation of technologies aimed at mitigating climate change, such as carbon capture and storage (CCS) technologies. However, there is a need for more materials science researchers to focus on CCS-relevant specialties. The MSCA-funded MISSION-CCS project aims to establish a doctoral training network to develop specialists in CSS technologies. This training network will employ revolutionary system design, analytical technologies, and more to provide candidates with expertise in CSS-related technical, engineering, and material science. Additionally, the project will promote peer-to-peer learning and cooperative innovation.",2929384.8,https://cordis.europa.eu/project/id/101118369,http://www.dtu.dk/
Innovation in germplasm cryopreservation for improved animal breeding and the conservation of Europe's livestock biodiversity,"Rising global demand for sustainable food production presents a pressing challenge in animal husbandry. With native breeds at risk of extinction, Europe’s livestock and aquaculture industries face growing pressure. With the support of the Marie Skłodowska-Curie Actions programme, the C-CryoStore project aims to revolutionise germplasm preservation technologies and enhance reproductive efficiency. By enhancing assisted reproductive procedures, it will safeguard Europe’s competitive edge and foster the conservation of native breeds. The project also places a strong emphasis on the intensive training of Early-Stage Researchers, equipping them with a wide range of scientific and transferable skills. Overall, C-CryoStore will pave the way for resilient and sustainable animal production in the face of environmental uncertainties.",2719468.8,https://cordis.europa.eu/project/id/101120454,http://www.umb.no/
Atmospheric Physics and Turbulence for Wind Energy,"Wind energy stands out as a promising renewable option, offering clean energy with minimal environmental impact. Despite its proven efficiency over the years, the dearth of specialised researchers has hindered innovation and posed challenges in attaining ambitious climate goals. The MSCA-funded AptWind project will address this gap by establishing a groundbreaking doctoral network. It aims to train a new cohort of entrepreneurs, researchers, and industry professionals. By equipping them with this advanced knowledge, the project aims to empower them to drive innovation and surmount existing challenges within the industry. The ultimate goal is for these trained individuals to pioneer novel technologies or services that contribute to the ongoing evolution of the wind energy sector.",4221676.8,https://cordis.europa.eu/project/id/101119550,http://www.dtu.dk/
AI for Vision Zero in Road Safety,"As road traffic fatalities remain a global societal problem, finding effective solutions has become a top priority. Funded by the Marie Skłodowska-Curie Actions programme, the IVORY project will develop AI solutions to enhance road safety. Moreover, it will create scalable AI technologies for proactive infrastructure safety management and user support through AI in vehicle automation. The project is aligned with the UN’s Sustainable Development Goal Target 3.6 and the EU Vision Zero strategy. Envisaged outcomes include improved training for researchers and new opportunities for global road safety impact. IVORY places a high priority on ethical AI in road safety for all, including vulnerable groups, and offers efficient solutions along with an online platform for future researchers.",3334846.8,https://cordis.europa.eu/project/id/101119590,http://www.tudelft.nl/
Precision nutrition and postprandial immune responses,"A grand challenge for sustainable development in Europe is to improve public health through reducing incidence of non-communicable diseases, premature mortality and health costs. An unhealthy diet is one of the most important risk factors for the global burden of diseases. Therefore, changing the dietary habits in the population is urgently needed. Precision nutrition is an important area for EU's research and innovation policy Food2030 and has emerged as a paradigm with promising results that could help to improve health in the post-genome era. To allow development of more effective preventive strategies via precision nutrition, the determinants driving the inter-personal differences in response to specific foods and meals need to be better understood. This implies also the underlying mechanisms causing differential responses. We eat meals several times per day and are constantly in the postprandial phase. Postprandial changes in circulating metabolites play a major role on human health and the immune response. This leads to the question if one can predict the type of meal, which will be most beneficial to improve an individuals’ metabolic health. Once such knowledge emerges, tailored stratified dietary advice can be developed and evaluated. The focus of NUTRIOME is to train 10 Research Doctoral Candidates (RDCs) in data-driven precision nutrition using two complementary training strategies to learn how to handle and combine multi-omics data, to evaluate the response to foods and diets. We will provide multi-disciplinary training, so that the RDCs: i) are able to utilize, share and disseminate public available multi-omics data, ii) know the regulations and routine for collaborative data sharing in a FAIR manner, and iii) are experts in analyzing, integrating and interpreting increasingly complex data. This will provide a new competence profile to resolve a bottleneck for development of personalised preventive solutions for improved health in Europe.",2799763.2,https://cordis.europa.eu/project/id/101119497,na
Innovative ligands for nuclear receptors to eradicate cancer relapse.,"The aim of the “eRaDicate” international, multidisciplinary, and intersectoral cancer drug research and development programme is to empower 10 young scientists to become specialists in cancer research and drug development, while developing new therapies against cancer stem cell-driven relapse and metastasis. Nuclear receptors, such as retinoic acid receptor (RAR) and vitamin D receptor (VDR), play key roles in many hallmarks of cancer and constitute effective targets for modern cancer therapy.
To address the EU priority “Mission Cancer”, we will 1) test the anti-cancer activity of RAR and VDR targeting compounds; 2) design and synthesise a highly innovative dual action hybrid compound acting simultaneously as RARγ antagonist and VDR agonist; 3) devise pre-formulation strategies for our compounds; 4) and develop a novel, deep learning-based cancer analysis and diagnostics method.
We will test how our RAR and VDR-targeting compounds affect stemness and metastatic potential in leukaemia, breast, prostate, colorectal, and ovarian cancer. In parallel, we will assess if the pan-RAR antagonist is effective against chemotherapy-induced neutropenia. For the development of the RAR and VDR targeting compounds into administrable medicines, ready for eventual commercialisation, we will develop pre-formulation strategies. We will generate a novel and highly innovative label-free image analysis method based on histoplasmonic cytometry. The project will have lasting scientific, economic, and societal impact.
In order to be prepared for a wide spectrum of career opportunities, we will train the doctoral candidates (DCs) not only to perform original and independent research on an internationally competitive level, but also endow them with creative, critical and entrepreneurial mindset, coupled with persistence in following their objectives.
Our consortium consists of 8 academic and 1 industrial beneficiary, as well as 12 associated partners to provide training and secondments.",2526933.6,https://cordis.europa.eu/project/id/101119427,na
